regime,law,mean_repeats,dataset,group,year,source,zipf_exponent,lognormal_sigma,geometric_tail,n_types,loglog_r2,csn_xmin,csn_alpha,csn_tail,tail_fraction,gof_p,gof_failed,lr_R,lr_normalized_R,lr_p,lr_at_bound,lr_mu,lr_sigma,lr_gap,error
finch,zipf,1.0,1,3,,discovered,1.0,1.0,0.05,36,0.9342306544788831,1.0,1.9945805204629283,36.0,1.0,0.92,0.0,0.007468959669229225,0.016167585218654853,0.9871006953309719,False,-83479.85082843354,258.66098562644845,8.626684575574473e-06,
finch,zipf,1.0,1,3,,true,1.0,1.0,0.05,10,0.918993246462507,3.0,1.6781343456804114,10.0,1.0,0.03,0.0,-2.8769941896299707,-1.445535181721672,0.14830761832184453,False,2.359347854482028,0.8092858510971668,4.050093593832571e-13,
finch,zipf,1.0,1,4,,discovered,1.0,1.0,0.05,38,0.8801476730688144,1.0,2.13761970522535,38.0,1.0,0.05,0.0,0.11225380650666661,0.23301414533219275,0.8157504216856594,False,-295966.97152410325,454.4412855822022,0.00010732962255133316,
finch,zipf,1.0,1,4,,true,1.0,1.0,0.05,10,0.9005080827268491,3.0,1.665827558587081,10.0,1.0,0.08,0.0,-3.0125317649759795,-1.5193872388621652,0.12866505218195243,False,2.3961670063497538,0.8031268245743647,1.5774048733874224e-12,
finch,zipf,1.0,1,5,,discovered,1.0,1.0,0.05,33,0.8994954696486503,1.0,1.8977371936566665,33.0,1.0,0.25,0.0,-0.10074758922925908,-0.15306684659765293,0.8783455603223039,False,-10.417948958067708,3.291221172547191,6.889976589263824e-09,
finch,zipf,1.0,1,5,,true,1.0,1.0,0.05,10,0.8629800830657027,2.0,1.516194203309588,10.0,1.0,0.0,0.0,-4.273268434513919,-1.7593175431202044,0.07852358850833373,False,2.3947149996029795,0.8444764367377392,1.3500311979441904e-13,
finch,zipf,1.0,1,6,,discovered,1.0,1.0,0.05,32,0.9445663695893951,1.0,1.8936983899511934,32.0,1.0,0.46,0.0,-1.0048146186870055,-0.9239750637126177,0.3554992989985192,False,-1.6070155945488684,1.683768587191043,2.5075053144973936e-11,
finch,zipf,1.0,1,6,,true,1.0,1.0,0.05,10,0.9082617782589213,2.0,1.557389919818973,10.0,1.0,0.04,0.0,-2.663141806861721,-1.3982690407056644,0.16203229107540407,False,2.1434332392033286,1.0263486187156394,1.1084466677857563e-12,
finch,zipf,1.0,1,7,,discovered,1.0,1.0,0.05,28,0.9281896286450536,3.0,2.2282276625058035,14.0,0.5,0.42,0.0,-0.43939093550462927,-0.5597947368462141,0.5756194540124895,False,0.4541244363834006,1.1814428468177811,3.055333763768431e-13,
finch,zipf,1.0,1,7,,true,1.0,1.0,0.05,10,0.9742593612644956,5.0,2.038207901063241,10.0,1.0,0.4,0.0,-0.9509652970678528,-0.883488868175779,0.3769721943990041,False,2.0601943771008955,0.9040864961141335,1.1652900866465643e-12,
finch,zipf,1.0,1,8,,discovered,1.0,1.0,0.05,31,0.9147539995759626,1.0,1.7962579177012226,31.0,1.0,0.13,0.0,-1.0550026211481272,-0.7993977640162772,0.424059806567863,False,-1.3949822386690904,1.779386394632809,1.4779288903810084e-12,
finch,zipf,1.0,1,8,,true,1.0,1.0,0.05,10,0.9601319843408109,3.0,1.7061729223524271,10.0,1.0,0.03,0.0,-2.1032874666568118,-1.4295606503165477,0.15284315604702042,False,2.205664815672037,0.9190383876681821,3.268496584496461e-13,
finch,zipf,1.0,1,9,,discovered,1.0,1.0,0.05,32,0.9515042680683872,1.0,1.8993959425694675,32.0,1.0,0.87,0.0,-0.4039991976816135,-0.5466220975803551,0.584638384439901,False,-6.102661834324811,2.6284066213222643,5.099849431644543e-10,
finch,zipf,1.0,1,9,,true,1.0,1.0,0.05,10,0.969665888394724,5.0,2.1217950701298025,10.0,1.0,0.95,0.0,-0.19120072440247737,-0.4193628559597254,0.6749509658178565,False,0.08890055767334207,1.5837980280671278,8.029843456824892e-11,
finch,zipf,1.0,1,10,,discovered,1.0,1.0,0.05,35,0.9261384584728003,3.0,2.5121016970825694,17.0,0.4857142857142857,0.4,0.0,-0.16762190752104744,-0.3769347793643446,0.7062220742981506,False,-1.4630435049701873,1.478889134716636,2.0027357550134184e-10,
finch,zipf,1.0,1,10,,true,1.0,1.0,0.05,10,0.9824586180869391,4.0,1.9058087876894074,10.0,1.0,0.69,0.0,-0.839011072335953,-0.9473884856045494,0.3434408562848901,False,1.7657399749989426,1.105125332624507,8.455458555545192e-13,
finch,zipf,1.0,1,11,,discovered,1.0,1.0,0.05,27,0.850019844048809,5.0,2.690188443460194,11.0,0.4074074074074074,0.52,0.0,-1.0989214377618208,-0.9553727532303123,0.3393892277302375,False,1.9179841410469232,0.5294964546931883,1.5276668818842154e-13,
finch,zipf,1.0,1,11,,true,1.0,1.0,0.05,10,0.8716181887548007,2.0,1.5169078855523652,10.0,1.0,0.02,0.0,-4.357359728775259,-1.7412273836899648,0.0816437290539214,False,2.3948675955967356,0.8333011604300139,2.5579538487363607e-13,
finch,zipf,1.0,1,12,,discovered,1.0,1.0,0.05,34,0.9050884087318551,1.0,1.820169380245722,34.0,1.0,0.04,0.0,-1.9512003824332693,-1.1514565212852235,0.24954447250519496,False,-0.25757599762655026,1.3475621804081648,2.5579538487363607e-13,
finch,zipf,1.0,1,12,,true,1.0,1.0,0.05,10,0.8007759850232451,1.0,1.3651985970105343,10.0,1.0,0.01,0.0,-5.290132869410484,-1.9312689896483857,0.05344979621283911,False,2.2786116490984716,1.0302632613130867,1.0231815394945443e-12,
finch,zipf,1.0,1,13,,discovered,1.0,1.0,0.05,26,0.9317705085917536,2.0,1.8596825174769318,18.0,0.6923076923076923,0.16,0.0,-1.7934775186400693,-1.2482071184127537,0.21195521778462967,False,1.1525793588477062,1.0524976003270448,3.0411229090532288e-12,
finch,zipf,1.0,1,13,,true,1.0,1.0,0.05,10,0.950426595060534,3.0,1.708716115954314,10.0,1.0,0.1,0.0,-1.835751376266189,-1.3441291509216937,0.1789066270461659,False,2.1444287885934115,0.979698584241169,1.0800249583553523e-12,
finch,zipf,1.0,1,14,,discovered,1.0,1.0,0.05,31,0.9395085337094824,2.0,1.999066159264786,19.0,0.6129032258064516,0.42,0.0,-0.9855461248755346,-0.9252057322559768,0.35485890233695105,False,0.4861225425893827,1.1961676275331574,6.686207143502543e-12,
finch,zipf,1.0,1,14,,true,1.0,1.0,0.05,10,0.8091699812535805,1.0,1.3653539082854231,10.0,1.0,0.03,0.0,-5.304829694887092,-1.9338470256151234,0.053131938984945996,False,2.2777891746025527,1.0279508572184248,2.7711166694643907e-13,
finch,zipf,1.0,1,15,,discovered,1.0,1.0,0.05,40,0.9112331256819095,1.0,2.028914326739142,40.0,1.0,0.24,0.0,-0.8848431513716606,-0.8239857251323508,0.40994766900862556,False,-1.8867575185016578,1.5905307824784904,1.9184653865522705e-13,
finch,zipf,1.0,1,15,,true,1.0,1.0,0.05,10,0.9715322643323022,3.0,1.7599031121965143,10.0,1.0,0.15,0.0,-0.9292834670263352,-0.8523311738287886,0.3940303084592701,False,1.6099490816725703,1.260669239109781,4.860112312599085e-12,
finch,zipf,1.0,1,16,,discovered,1.0,1.0,0.05,40,0.9314590730809855,1.0,2.0360599955913337,40.0,1.0,0.05,0.0,-2.7361519242778742,-1.4145611155620579,0.1571972164561031,False,0.09999712219154988,0.9331130770000828,2.842170943040401e-14,
finch,zipf,1.0,1,16,,true,1.0,1.0,0.05,10,0.9161829537814977,3.0,1.6821863581800993,10.0,1.0,0.02,0.0,-2.6395094463989426,-1.5433056729131558,0.12275662785669245,False,2.327887367750849,0.8433188089960669,1.9184653865522705e-13,
finch,zipf,1.0,1,17,,discovered,1.0,1.0,0.05,38,0.9039965335074502,1.0,1.921795868585812,38.0,1.0,0.24,0.0,-2.209981321810274,-1.3798426545230962,0.1676350962231261,False,-0.16470528063256823,1.1697078612130212,8.384404281969182e-13,
finch,zipf,1.0,1,17,,true,1.0,1.0,0.05,10,0.9003695145646214,4.0,1.8766617816822655,10.0,1.0,0.05,0.0,-1.4448048599249823,-1.075171188507905,0.2822980921367857,False,2.150007692250474,0.8890770521515224,5.747082809648418e-10,
finch,zipf,1.0,1,18,,discovered,1.0,1.0,0.05,38,0.9256469536913138,2.0,2.6267726904724586,17.0,0.4473684210526316,0.35,0.0,-0.6811617433959647,-0.7372503197545082,0.4609701378637586,False,0.4735468567467684,0.7673850764167364,2.05702122002549e-12,
