law,mean_repeats,rep,n_elements_total,true_word_types,true_r2,threshold,pipeline_r2,n_unit_types,n_units,boundary_f1,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,rotate_mean,rotate_sd,rotate_z,rotate_p,bigram_mean,bigram_sd,bigram_z,bigram_p
zipf,1.0,12,6108,100,0.914712989278238,0.5,0.9581539613334902,341,1596,0.7284479889467581,0.6807925379626948,0.017087138335157764,16.232175214506714,0.004975124378109453,0.8168931842517708,0.010937283092634215,12.915527182143832,0.004975124378109453,0.8952620115199474,0.00957489206025546,6.56842389634884,0.004975124378109453
zipf,1.0,12,6108,100,0.914712989278238,0.75,0.9673203105647105,314,2100,0.6713376112277627,,,,,,,,,,,,
zipf,1.0,13,6025,97,0.9409651739300473,0.25,0.9056182839663706,430,1089,0.6616569227775901,,,,,,,,,,,,
zipf,1.0,13,6025,97,0.9409651739300473,0.5,0.9657650740659146,387,1833,0.6325046600868375,0.6983735669524126,0.016289248800620208,16.415214132116464,0.004975124378109453,0.865687529340907,0.00828796563349822,12.075043400338819,0.004975124378109453,0.8679160272672669,0.011064254801769875,8.843708731562783,0.004975124378109453
zipf,1.0,13,6025,97,0.9409651739300473,0.75,0.9576007987184848,334,2141,0.6300650255807344,,,,,,,,,,,,
zipf,1.0,14,5032,98,0.9587199326145853,0.25,0.9029906054647845,361,1051,0.7630560062912105,,,,,,,,,,,,
zipf,1.0,14,5032,98,0.9587199326145853,0.5,0.955612789106762,334,1464,0.783104213832622,0.6195394903569484,0.02379751953656963,14.122198670049201,0.004975124378109453,0.8122011570179304,0.010976594262661942,13.065221202232241,0.004975124378109453,0.8805912798290398,0.01090548470786748,6.87924574536332,0.004975124378109453
zipf,1.0,14,5032,98,0.9587199326145853,0.75,0.9585175551482137,301,1886,0.7317922129716109,,,,,,,,,,,,
zipf,1.0,15,5931,98,0.9422654360476092,0.25,0.8851820480778395,376,969,0.7513110771574014,,,,,,,,,,,,
zipf,1.0,15,5931,98,0.9422654360476092,0.5,0.952517104773279,329,1519,0.7858073396666738,0.5727985531662013,0.029880840099168145,12.707760235216703,0.004975124378109453,0.7930317748647266,0.013888055809185314,11.48363256166292,0.004975124378109453,0.8801294690164244,0.009937383338307532,7.284375905859253,0.004975124378109453
zipf,1.0,15,5931,98,0.9422654360476092,0.75,0.9538672921926388,305,2134,0.6926912433136696,,,,,,,,,,,,
zipf,1.0,16,6095,99,0.9306714961727346,0.25,0.8848908206088455,419,1077,0.6966287216449866,,,,,,,,,,,,
zipf,1.0,16,6095,99,0.9306714961727346,0.5,0.95481352810521,356,1654,0.6796215045173041,0.6495181302357611,0.01963832285310449,15.545899726421233,0.004975124378109453,0.8291982383598355,0.011303374407151227,11.113078733895813,0.004975124378109453,0.8953190967346728,0.010710936783012727,5.554549763088312,0.004975124378109453
zipf,1.0,16,6095,99,0.9306714961727346,0.75,0.9664569037655146,316,2296,0.6148997792429954,,,,,,,,,,,,
zipf,1.0,17,5441,97,0.9670860439303237,0.25,0.9190994323393306,371,1063,0.6847715874622492,,,,,,,,,,,,
zipf,1.0,17,5441,97,0.9670860439303237,0.5,0.9561800939073488,331,1564,0.741019968838476,0.6766578073064153,0.020250388960207474,13.803304576035643,0.004975124378109453,0.8121608553606634,0.01334342766845954,10.793271573473596,0.004975124378109453,0.8909121639819699,0.010134300311638256,6.440299568626858,0.004975124378109453
zipf,1.0,17,5441,97,0.9670860439303237,0.75,0.9658996019398011,291,2361,0.6296169781113876,,,,,,,,,,,,
zipf,1.0,18,5939,100,0.9558945241626052,0.25,0.8742257113144284,368,1041,0.7439921169248397,,,,,,,,,,,,
zipf,1.0,18,5939,100,0.9558945241626052,0.5,0.955612392652073,352,1675,0.6990061745973554,0.6325279987222833,0.0207211130592477,15.592038565013246,0.004975124378109453,0.8350946393317205,0.010583250079198145,11.387593831618474,0.004975124378109453,0.905141253718745,0.008590301316431745,5.875363048882293,0.004975124378109453
